artist_id;artist_name;song_count;most_common_genre;max_popularity;min_popularity;average_popularity;first_time_topsong
0;*NSYNC;3;pop;65;50;58.333333333333336;2000
1;112;2;hip hop;63;57;60.0;2001
2;2 Chainz;2;hip hop;71;69;70.0;2013
3;21 Savage;2;hip hop;78;74;76.0;2017
4;2Pac;2;hip hop;68;57;62.5;2001
5;3 Doors Down;5;pop;78;52;65.4;2000
6;3LW;1;pop;56;56;56.0;2000
7;3OH!3;2;hip hop;70;62;66.0;2008
8;5 Seconds of Summer;2;pop;74;69;71.5;2014
9;50 Cent;9;hip hop;81;57;71.11111111111111;2003
10;6ix9ine;1;hip hop;63;63;63.0;2018
11;99 Souls;1;Dance/Electronic;55;55;55.0;2016
12;A Boogie Wit da Hoodie;2;hip hop;75;73;74.0;2018
13;A$AP Ferg;1;hip hop;74;74;74.0;2017
14;A$AP Rocky;1;hip hop;76;76;76.0;2013
15;A.R. Rahman;1;other;65;65;65.0;2009
16;A1;1;pop;53;53;53.0;2001
17;AJ Tracey;1;hip hop;69;69;69.0;2019
18;Aaliyah;1;hip hop;53;53;53.0;2002
19;Adam Lambert;1;pop;57;57;57.0;2009
20;Adele;1;pop;74;74;74.0;2012
21;Afroman;1;hip hop;68;68;68.0;2001
22;Agnes;1;pop;65;65;65.0;2009
23;Akon;5;pop;69;52;59.4;2006
24;Alan Walker;1;Dance/Electronic;78;78;78.0;2018
25;Alanis Morissette;1;pop;57;57;57.0;2002
26;Alec Benjamin;1;other;82;82;82.0;2018
27;Alesha Dixon;1;pop;51;51;51.0;2008
28;Alessia Cara;2;pop;76;66;71.0;2016
29;Alesso;1;pop;52;52;52.0;2014
30;Alex & Sierra;1;pop;75;75;75.0;2014
31;Alex Clare;1;rock;60;60;60.0;2011
32;Alex Gaudino;1;Dance/Electronic;73;73;73.0;2007
33;Alexandra Burke;2;pop;63;57;60.0;2009
34;Alice Deejay;1;pop;73;73;73.0;2000
35;Alicia Keys;6;pop;77;50;61.0;2001
36;Alien Ant Farm;1;rock;75;75;75.0;2001
37;All Saints;1;pop;62;62;62.0;2000
38;All Time Low;1;rock;76;76;76.0;2007
39;Alok;1;pop;51;51;51.0;2016
40;Amerie;1;hip hop;52;52;52.0;2008
41;Amy Winehouse;3;R&B;76;63;70.0;2006
42;Anastacia;3;pop;65;56;61.666666666666664;1999
43;Anne-Marie;3;pop;80;57;64.66666666666667;2016
44;Anuel AA;2;latin;76;75;75.5;2019
45;Arctic Monkeys;6;rock;96;67;79.0;2006
46;Ariana Grande;10;pop;83;65;75.6;2013
47;Armin van Buuren;1;pop;66;66;66.0;2013
48;Ashanti;6;hip hop;70;50;59.5;2002
49;Asher Roth;1;hip hop;62;62;62.0;2009
50;Ashlee Simpson;1;pop;56;56;56.0;2004
51;Ashley O;1;other;57;57;57.0;2019
52;Atomic Kitten;3;pop;66;58;63.0;2001
53;Audioslave;1;rock;75;75;75.0;2002
54;Avant;2;pop;56;55;55.5;2000
55;Avicii;8;pop;85;53;70.375;2011
56;Avril Lavigne;9;pop;78;58;69.66666666666667;2002
57;Ayo & Teo;1;hip hop;69;69;69.0;2017
58;B Young;1;hip hop;60;60;60.0;2018
59;B.o.B;3;hip hop;74;65;71.0;2010
60;B2K;1;hip hop;62;62;62.0;2003
61;Baauer;1;Dance/Electronic;57;57;57.0;2013
62;Baby Bash;2;other;73;73;73.0;2003
63;Baby Boy Da Prince;1;hip hop;59;59;59.0;2006
64;Backstreet Boys;3;pop;70;63;67.0;1999
65;Bad Bunny;4;latin;89;77;82.75;2018
66;Bad Meets Evil;1;hip hop;68;68;68.0;2011
67;Baha Men;1;R&B;65;65;65.0;2000
68;Banx & Ranx;1;Dance/Electronic;56;56;56.0;2018
69;Basshunter;2;pop;65;63;64.0;2008
70;Bastille;3;pop;74;61;66.66666666666667;2013
71;Bazzi;1;pop;75;75;75.0;2018
72;Becky G;2;pop;78;69;73.5;2014
73;Benny Benassi;1;pop;66;66;66.0;2003
74;Beyoncé;14;pop;76;57;66.92857142857143;2003
75;Big Sean;2;hip hop;75;71;73.0;2015
76;Big Shaq;1;pop;62;62;62.0;2017
77;Big Tymers;1;hip hop;64;64;64.0;2002
78;Billie Eilish;5;pop;86;75;82.8;2017
79;Birdy;1;pop;68;68;68.0;2015
80;Bizarrap;2;pop;88;85;86.5;2023
81;Black Eyed Peas;13;hip hop;80;53;66.76923076923077;2003
82;Blake Shelton;2;country;56;50;53.0;2011
83;Blanco Brown;1;other;69;69;69.0;2019
84;BlocBoy JB;1;hip hop;73;73;73.0;2018
85;Blu Cantrell;1;pop;71;71;71.0;2001
86;Blue;4;pop;63;57;59.5;2001
87;Bob Sinclar;1;pop;69;69;69.0;2006
88;Bobby Shmurda;1;hip hop;73;73;73.0;2014
