genre_id_;song_count;artist_count;explicit_count;max_popularity;min_popularity;average_popularity;duration_ms_mean;danceability_mean;energy_mean;loudness_mean;speechiness_mean;acousticness_mean;instrumentalness_mean;liveness_mean;valence_mean;tempo_mean
Dance/Electronic;28;28;3;84;50;60.82142857142857;244159.35714285713;0.6665357142857143;0.78125;-6.156428571428571;0.06073928571428571;0.06728489285714286;0.08147022392857142;0.18480000000000002;0.5607857142857143;126.49992857142857
Folk/Acoustic;3;3;0;81;69;75.0;232575.66666666666;0.5146666666666667;0.5793333333333334;-7.636333333333333;0.03813333333333333;0.5993333333333334;0.22033333333333335;0.12966666666666668;0.306;102.22633333333333
R&B;14;11;2;78;52;66.42857142857143;229865.7857142857;0.6538571428571428;0.687142857142857;-6.289928571428571;0.11843571428571428;0.12095714285714286;0.0008345478571428572;0.14363571428571428;0.5837142857142857;111.9927142857143
country;10;7;1;84;50;61.4;212036.0;0.5729;0.7071;-5.1496;0.03343;0.268757;3.8499999999999997e-07;0.16826;0.5599000000000001;147.48
edm;1;1;1;92;92;92.0;175238.0;0.561;0.965;-3.673;0.0343;0.00383;7.07e-06;0.371;0.304;128.04
hip hop;591;227;365;91;50;67.9238578680203;237593.26903553298;0.7238849407783418;0.6862673434856176;-5.683862944162437;0.1602482233502538;0.12065082402707275;0.004558285093062606;0.18264010152284263;0.5595238578680203;118.17898815566836
k-pop;2;2;1;93;90;91.5;197896.0;0.7095;0.782;-4.8149999999999995;0.04295;0.15725;0.0;0.21835;0.617;122.494
latin;13;9;3;81;51;71.15384615384616;229875.0;0.7340769230769231;0.7354615384615385;-4.421769230769231;0.13506923076923077;0.2471769230769231;0.0008137661538461538;0.16346153846153846;0.5565384615384615;122.92776923076923
modern pop;1;1;0;83;83;83.0;209260.0;0.515;0.593;-4.801;0.0322;0.653;0.162;0.25;0.153;94.467
other;153;82;29;94;50;70.11111111111111;219646.22875816992;0.67381045751634;0.7634117647058823;-4.987124183006536;0.09263660130718955;0.1533961633986928;0.026396704640522878;0.18678235294117648;0.5850895424836601;119.05391503267974
pop;810;331;79;99;50;67.92469135802469;225910.06666666668;0.6414074074074073;0.7178691358024691;-5.561743209876543;0.07275098765432099;0.14570720827160494;0.014176029913580248;0.17382592592592594;0.5432943209876543;120.96763456790123
rap;1;1;1;91;91;91.0;221520.0;0.715;0.62;-6.005;0.0484;0.417;0.0;0.0822;0.172;97.95
rock;101;52;11;96;54;71.74257425742574;224057.0792079208;0.5322475247524753;0.8341089108910892;-4.641029702970298;0.0594990099009901;0.04062463564356436;0.01827188346534653;0.19351683168316833;0.5276475247524752;127.10738613861386
sad sierreño;2;2;1;86;82;84.0;174868.5;0.726;0.792;-5.758;0.0435;0.28975;4.49e-05;0.10335;0.8634999999999999;143.0335
world/traditional;1;1;0;61;61;61.0;151640.0;0.7;0.465;-6.815;0.358;0.544;0.0;0.606;0.719;108.102
